                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     55,               0.034859,               0.015685,              0.0047408,             0.00087831,                0.94184,                  0.957,                0.97286,                0.56994,                0.94457,                0.95647,                0.97752,                0.66048,               0.025485,              0.0085152,              0.0038234,             0.00046077,                0.00838,                0.00838,                0.00838
                     56,               0.034553,                0.01505,              0.0048542,               0.001045,                 0.9566,                0.94451,                0.96575,                0.63641,                0.83636,                0.81912,                 0.8437,                 0.4321,                0.02579,              0.0082925,              0.0037317,             0.00050244,                0.00835,                0.00835,                0.00835
                     57,                0.03372,               0.012866,              0.0046241,             0.00084389,                0.94869,                0.94495,                0.96334,                0.62769,                0.92848,                0.92105,                0.93085,                0.58802,               0.026302,              0.0097912,              0.0039551,             0.00055902,                0.00832,                0.00832,                0.00832
                     58,               0.035697,                0.01566,              0.0048167,             0.00094487,                0.96565,                0.93445,                0.96846,                0.72211,                0.97245,                0.94126,                0.97356,                 0.5828,               0.024227,              0.0094795,              0.0038766,             0.00060075,                0.00829,                0.00829,                0.00829
                     59,               0.032518,               0.013592,              0.0044864,             0.00088192,                0.96779,                0.94801,                0.96811,                0.68209,                0.94021,                0.91996,                 0.9237,                0.53431,               0.022862,               0.008607,              0.0038077,             0.00060715,                0.00826,                0.00826,                0.00826
                     60,               0.035866,               0.013735,              0.0047716,             0.00081319,                0.96877,                0.92966,                0.96112,                0.79652,                0.92179,                0.88966,                0.92412,                0.68729,               0.019632,              0.0083858,              0.0039385,             0.00061956,                0.00823,                0.00823,                0.00823
                     61,               0.035274,               0.014446,              0.0043805,             0.00073145,                  0.921,                0.91437,                0.92571,                0.57754,                0.86484,                0.86716,                0.85329,                0.43871,               0.026592,              0.0089543,              0.0049271,             0.00066932,                 0.0082,                 0.0082,                 0.0082
                     62,               0.034639,               0.013239,              0.0047193,             0.00079494,                0.92483,                0.93884,                0.94738,                0.78867,                0.92758,                0.94495,                0.95287,                0.71351,               0.020409,              0.0075372,              0.0040372,             0.00061812,                0.00817,                0.00817,                0.00817
                     63,               0.033517,               0.014782,              0.0050045,             0.00073918,                0.92104,                0.94373,                0.95176,                0.70403,                0.93085,                0.94801,                0.96084,                0.63864,               0.020908,              0.0067758,              0.0039424,             0.00057112,                0.00814,                0.00814,                0.00814
                     64,               0.033342,               0.014363,              0.0048255,             0.00091048,                0.82523,                0.69549,                0.74328,                0.50759,                 0.8122,                0.70362,                0.74743,                0.49844,               0.029842,              0.0069403,               0.004738,             0.00054519,                0.00811,                0.00811,                0.00811
                     65,               0.032502,               0.014097,              0.0043771,             0.00071483,                0.81948,                0.66623,                0.69808,                 0.4371,                0.82129,                0.66962,                0.70363,                0.44543,               0.035515,               0.010422,              0.0056431,              0.0007153,                0.00808,                0.00808,                0.00808
                     66,                0.03299,               0.013335,              0.0042376,             0.00067489,                 0.9761,                0.94383,                0.96125,                 0.7274,                0.97959,                0.94689,                0.96695,                  0.673,               0.022454,              0.0068759,              0.0040484,             0.00052204,                0.00805,                0.00805,                0.00805
                     67,               0.033743,               0.014659,              0.0046418,             0.00084219,                0.95089,                0.89213,                0.95646,                0.70355,                0.87103,                 0.8298,                0.86646,                0.56303,               0.022767,              0.0089487,              0.0040253,             0.00049342,                0.00802,                0.00802,                0.00802
                     68,               0.034166,               0.012631,              0.0046611,             0.00079497,                0.96767,                0.87936,                  0.965,                0.59274,                0.95718,                0.83813,                0.86714,                0.50163,               0.024569,               0.011865,              0.0040371,             0.00050858,                0.00799,                0.00799,                0.00799
                     69,               0.036245,               0.014215,              0.0044578,             0.00084399,                0.96737,                0.95346,                0.96533,                0.56745,                0.97072,                0.95652,                0.97128,                0.65075,               0.025644,              0.0080886,              0.0041003,              0.0005234,                0.00796,                0.00796,                0.00796
                     70,               0.033876,               0.013953,              0.0050404,             0.00087296,                0.97154,                0.95107,                0.96655,                0.75461,                0.97154,                0.95107,                0.96927,                 0.6071,               0.019496,              0.0069295,              0.0041345,             0.00052566,                0.00793,                0.00793,                0.00793
                     71,               0.031236,               0.014755,              0.0045828,              0.0008501,                0.96398,                0.95413,                0.96859,                0.72863,                0.96791,                0.95902,                0.97375,                0.59702,                0.02036,               0.009965,              0.0038361,             0.00051044,                 0.0079,                 0.0079,                 0.0079
                     72,               0.033578,               0.014016,              0.0045733,             0.00082388,                0.96469,                 0.9419,                0.95379,                0.73032,                0.97216,                0.94801,                0.96134,                 0.6035,               0.021108,               0.008103,              0.0043164,             0.00048328,                0.00787,                0.00787,                0.00787
                     73,               0.030766,                0.01382,              0.0043744,              0.0008028,                0.86252,                0.93853,                0.95003,                0.67933,                0.86724,                0.94465,                0.95816,                0.75668,               0.024384,              0.0089349,              0.0047452,             0.00043896,                0.00784,                0.00784,                0.00784
                     74,               0.033054,               0.013002,              0.0044402,             0.00070071,                0.77367,                0.95457,                0.88261,                0.55328,                0.77576,                0.95763,                 0.8863,                0.56423,               0.025671,              0.0077754,               0.004221,             0.00038983,                0.00781,                0.00781,                0.00781
                     75,                0.03162,               0.013404,              0.0047637,             0.00085165,                0.94384,                 0.9419,                0.95617,                0.63844,                0.93536,                0.82114,                0.86843,                0.47397,               0.023953,              0.0066188,              0.0042098,             0.00039268,                0.00778,                0.00778,                0.00778
                     76,               0.031721,               0.013567,              0.0042647,             0.00065567,                 0.9157,                0.92538,                 0.9472,                0.71218,                0.92313,                0.92947,                0.95259,                0.71361,               0.021767,              0.0085455,              0.0044486,             0.00041551,                0.00775,                0.00775,                0.00775
                     77,               0.030713,               0.013566,              0.0044327,             0.00091637,                0.57927,                0.74537,                0.84947,                0.51076,                0.58309,                0.75149,                0.85688,                0.50236,               0.027673,              0.0068703,              0.0044333,             0.00048487,                0.00772,                0.00772,                0.00772
                     78,               0.030897,               0.013018,              0.0046914,             0.00091493,                0.71612,                0.72787,                0.73884,                 0.5025,                0.71612,                0.72787,                0.73995,                0.50084,               0.028677,              0.0071638,              0.0044103,             0.00050686,                0.00769,                0.00769,                0.00769
                     79,               0.031485,               0.012295,              0.0044332,             0.00075588,                0.95136,                0.94838,                 0.9627,                0.71947,                0.96108,                0.95435,                0.97062,                0.66522,               0.023443,              0.0085429,              0.0037112,              0.0004937,                0.00766,                0.00766,                0.00766
                     80,               0.032232,                0.01339,              0.0046676,             0.00076439,                0.97197,                0.95372,                0.96736,                0.67494,                0.97534,                0.95678,                0.97256,                0.66315,               0.027441,              0.0081574,              0.0037554,             0.00048221,                0.00763,                0.00763,                0.00763
                     81,               0.031021,               0.012169,              0.0046182,             0.00083008,                 0.9648,                 0.9633,                0.97375,                0.68511,                 0.9573,                0.95609,                0.96411,                 0.6966,               0.022041,              0.0085806,              0.0036821,             0.00048288,                 0.0076,                 0.0076,                 0.0076
                     82,               0.031138,               0.015614,              0.0045085,             0.00076821,                0.94624,                0.96523,                0.98238,                0.71444,                0.94624,                0.96523,                0.98362,                0.67888,               0.021578,               0.010636,              0.0037219,             0.00045741,                0.00757,                0.00757,                0.00757
                     83,               0.031156,               0.013118,              0.0040589,             0.00071776,                0.97755,                0.95983,                0.97481,                0.73493,                0.91424,                0.89714,                0.89083,                0.52171,                0.02094,               0.008347,              0.0037394,             0.00045468,                0.00754,                0.00754,                0.00754
                     84,               0.030942,               0.013106,               0.004839,             0.00089258,                0.97747,                0.95413,                0.97461,                0.75679,                0.80609,                0.77774,                0.78751,                0.47658,               0.018113,              0.0089756,              0.0039333,             0.00043957,                0.00751,                0.00751,                0.00751
                     85,               0.031622,               0.016062,              0.0042845,             0.00079399,                0.96338,                 0.9419,                0.96166,                0.70482,                0.83853,                0.81607,                0.82771,                0.46016,                0.02117,              0.0089782,              0.0041406,             0.00044201,                0.00748,                0.00748,                0.00748
                     86,               0.032345,               0.013391,              0.0043505,             0.00087134,                0.84598,                0.82593,                0.85784,                0.52253,                0.84598,                0.82593,                0.84777,                 0.5432,               0.025527,               0.009757,              0.0048547,             0.00045658,                0.00745,                0.00745,                0.00745
                     87,                0.03123,               0.014249,              0.0044037,             0.00072338,                0.97841,                0.93578,                0.95936,                0.74168,                0.97678,                0.93439,                0.96016,                0.62838,               0.020141,               0.008536,              0.0042487,             0.00041992,                0.00742,                0.00742,                0.00742
                     88,               0.029077,               0.013263,               0.004339,             0.00076963,                 0.8217,                0.67206,                0.77688,                0.48582,                0.83411,                0.67772,                0.78136,                0.46007,               0.030446,              0.0073565,              0.0055061,              0.0003569,                0.00739,                0.00739,                0.00739
                     89,               0.031733,               0.012966,              0.0044063,             0.00069214,                0.97422,                 0.9419,                0.95447,                0.55355,                0.86737,                0.83384,                0.85429,                0.48859,               0.026241,               0.008459,               0.004682,             0.00035244,                0.00736,                0.00736,                0.00736
                     90,               0.031412,               0.014036,              0.0048464,             0.00064661,                0.75159,                0.84665,                0.81393,                0.47739,                0.75844,                0.83671,                0.80753,                0.43677,               0.029842,              0.0074866,              0.0043198,              0.0003487,                0.00733,                0.00733,                0.00733
                     91,               0.031284,               0.013644,              0.0043978,              0.0007448,                0.97152,                0.95413,                0.96862,                0.74937,                0.95356,                0.93635,                0.94801,                0.69024,               0.019829,              0.0098507,              0.0039344,              0.0003659,                 0.0073,                 0.0073,                 0.0073
                     92,               0.031738,               0.014792,              0.0045467,             0.00067305,                0.95915,                0.96024,                0.97056,                0.80394,                0.87855,                0.88024,                 0.8659,                0.67191,               0.018622,               0.010633,              0.0039855,             0.00039542,                0.00727,                0.00727,                0.00727
